Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,D_Small,D_SOD-123,147.496815,108.655055,90.0,bottom
D10,D_Small,D_SOD-123,201.666815,98.932555,90.0,bottom
D11,D_Small,D_SOD-123,219.666815,96.452555,90.0,bottom
D12,D_Small,D_SOD-123,238.216815,94.162555,90.0,bottom
D13,D_Small,D_SOD-123,148.196815,74.662555,90.0,bottom
D14,D_Small,D_SOD-123,166.186815,74.655055,90.0,bottom
D15,D_Small,D_SOD-123,184.196815,79.455055,90.0,bottom
D16,D_Small,D_SOD-123,201.656815,81.952555,90.0,bottom
D17,D_Small,D_SOD-123,219.646815,79.455055,90.0,bottom
D18,D_Small,D_SOD-123,238.206815,77.142555,90.0,bottom
D19,D_Small,D_SOD-123,148.176815,57.652555,90.0,bottom
D2,D_Small,D_SOD-123,166.496815,108.712555,90.0,bottom
D20,D_Small,D_SOD-123,166.202457,57.649816,90.0,bottom
D21,D_Small,D_SOD-123,184.176815,62.462555,90.0,bottom
D22,D_Small,D_SOD-123,201.586815,64.952555,90.0,bottom
D23,D_Small,D_SOD-123,219.766815,62.445055,90.0,bottom
D24,D_Small,D_SOD-123,238.206815,60.152555,90.0,bottom
D25,D_Small,D_SOD-123,152.340058,50.698079,270.0,bottom
D26,D_Small,D_SOD-123,173.496815,50.562555,270.0,bottom
D27,D_Small,D_SOD-123,194.606815,53.052555,270.0,bottom
D28,D_Small,D_SOD-123,215.466815,51.802555,270.0,bottom
D29,D_Small,D_SOD-123,238.266815,51.772555,270.0,bottom
D3,D_Small,D_SOD-123,184.566815,113.452555,90.0,bottom
D30,D_Small,D_SOD-123,245.526815,51.772555,270.0,bottom
D31,D_Small,D_SOD-123,38.729764,111.053,90.0,bottom
D32,D_Small,D_SOD-123,56.729764,113.363,90.0,bottom
D33,D_Small,D_SOD-123,74.149764,115.9255,90.0,bottom
D34,D_Small,D_SOD-123,92.164509,113.445388,90.0,bottom
D35,D_Small,D_SOD-123,110.296383,108.632794,90.0,bottom
D36,D_Small,D_SOD-123,128.705058,108.652293,90.0,bottom
D37,D_Small,D_SOD-123,38.321764,94.134,90.0,bottom
D38,D_Small,D_SOD-123,56.709764,96.463,90.0,bottom
D39,D_Small,D_SOD-123,74.149764,98.913,90.0,bottom
D4,D_Small,D_SOD-123,201.746815,115.932555,90.0,bottom
D40,D_Small,D_SOD-123,92.089764,96.443,90.0,bottom
D41,D_Small,D_SOD-123,110.179147,91.62941,90.0,bottom
D42,D_Small,D_SOD-123,128.706201,91.647012,90.0,bottom
D43,D_Small,D_SOD-123,38.706485,77.105045,90.0,bottom
D44,D_Small,D_SOD-123,56.679764,79.443,90.0,bottom
D45,D_Small,D_SOD-123,74.169764,81.903,90.0,bottom
D46,D_Small,D_SOD-123,92.139764,79.443,90.0,bottom
D47,D_Small,D_SOD-123,110.739764,74.643,90.0,bottom
D48,D_Small,D_SOD-123,128.759764,74.6555,90.0,bottom
D49,D_Small,D_SOD-123,38.719764,60.103,90.0,bottom
D5,D_Small,D_SOD-123,219.685566,113.446023,90.0,bottom
D50,D_Small,D_SOD-123,56.729764,62.453,90.0,bottom
D51,D_Small,D_SOD-123,74.099764,64.903,90.0,bottom
D52,D_Small,D_SOD-123,92.089764,62.443,90.0,bottom
D53,D_Small,D_SOD-123,110.739764,57.663,90.0,bottom
D54,D_Small,D_SOD-123,128.729764,57.643,90.0,bottom
D55,D_Small,D_SOD-123,17.369764,54.563,0.0,bottom
D56,D_Small,D_SOD-123,47.209764,52.9455,270.0,bottom
D57,D_Small,D_SOD-123,67.909764,54.333,270.0,bottom
D58,D_Small,D_SOD-123,88.519764,52.283,270.0,bottom
D59,D_Small,D_SOD-123,105.300764,49.463,270.0,bottom
D6,D_Small,D_SOD-123,238.186815,111.112555,90.0,bottom
D60,D_Small,D_SOD-123,122.539764,49.303,270.0,bottom
D61,D_Small,D_SOD-123,257.486815,79.202555,0.0,bottom
D62,D_Small,D_SOD-123,16.419764,76.163,0.0,bottom
D7,D_Small,D_SOD-123,148.156815,91.655055,90.0,bottom
D8,D_Small,D_SOD-123,166.196815,91.642555,90.0,bottom
D9,D_Small,D_SOD-123,184.116815,96.442555,90.0,bottom
J31,Conn_01x02_Socket,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,241.536815,123.512555,90.0,bottom
J32,Conn_01x02_Socket,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,21.239764,123.223,270.0,bottom
MX1,MX_SW_HS,SW_choc_v1_HS_CPG135001S30_1u,139.516815,113.302555,0.0,bottom
MX10,MX_SW_HS,SW_choc_v1_HS_CPG135001S30_1u,193.516815,103.602555,0.0,bottom
MX11,MX_SW_HS,SW_choc_v1_HS_CPG135001S30_1u,211.516815,101.102555,0.0,bottom
MX12,MX_SW_HS,SW_choc_v1_HS_CPG135001S30_1u,229.516815,98.802555,0.0,bottom
MX13,MX_SW_HS,SW_choc_v1_HS_CPG135001S30_1u,139.516815,79.302555,0.0,bottom
MX14,MX_SW_HS,SW_choc_v1_HS_CPG135001S30_1u,157.516815,79.302555,0.0,bottom
MX15,MX_SW_HS,SW_choc_v1_HS_CPG135001S30_1u,175.516815,84.102555,0.0,bottom
MX16,MX_SW_HS,SW_choc_v1_HS_CPG135001S30_1u,193.516815,86.602555,0.0,bottom
MX17,MX_SW_HS,SW_choc_v1_HS_CPG135001S30_1u,211.516815,84.102555,0.0,bottom
MX18,MX_SW_HS,SW_choc_v1_HS_CPG135001S30_1u,229.516815,81.802555,0.0,bottom
MX19,MX_SW_HS,SW_choc_v1_HS_CPG135001S30_1u,139.516815,62.302555,0.0,bottom
MX2,MX_SW_HS,SW_choc_v1_HS_CPG135001S30_1u,157.516815,113.302555,0.0,bottom
MX20,MX_SW_HS,SW_choc_v1_HS_CPG135001S30_1u,157.516815,62.302555,0.0,bottom
MX21,MX_SW_HS,SW_choc_v1_HS_CPG135001S30_1u,175.516815,67.102555,0.0,bottom
MX22,MX_SW_HS,SW_choc_v1_HS_CPG135001S30_1u,193.516815,69.602555,0.0,bottom
MX23,MX_SW_HS,SW_choc_v1_HS_CPG135001S30_1u,211.516815,67.102555,0.0,bottom
MX24,MX_SW_HS,SW_choc_v1_HS_CPG135001S30_1u,229.516815,64.802555,0.0,bottom
MX25,MX_SW_HS,SW_choc_v1_HS_CPG135001S30_1.25u,141.770058,45.288079,0.0,bottom
MX26,MX_SW_HS,SW_choc_v1_HS_CPG135001S30_1u,164.873562,44.624239,344.0,bottom
MX27,MX_SW_HS,SW_choc_v1_HS_CPG135001S30_1u,184.359373,47.996141,356.0,bottom
MX28,MX_SW_HS,SW_choc_v1_HS_CPG135001S30_1u,204.007787,47.963463,4.0,bottom
MX29,MX_SW_HS,SW_choc_v1_HS_CPG135001S30_1u,223.342299,44.885111,13.0,bottom
MX3,MX_SW_HS,SW_choc_v1_HS_CPG135001S30_1u,175.516815,118.102555,0.0,bottom
MX30,MX_SW_HS,SW_choc_v1_HS_CPG135001S30_1u,248.327871,45.81223,117.0,bottom
MX31,MX_SW_HS,SW_choc_v1_HS_CPG135001S30_1u,30.042114,115.75425,0.0,bottom
MX32,MX_SW_HS,SW_choc_v1_HS_CPG135001S30_1u,48.042114,118.10425,0.0,bottom
MX33,MX_SW_HS,SW_choc_v1_HS_CPG135001S30_1u,66.042114,120.55425,0.0,bottom
MX34,MX_SW_HS,SW_choc_v1_HS_CPG135001S30_1u,84.029764,118.093,0.0,bottom
MX35,MX_SW_HS,SW_choc_v1_HS_CPG135001S30_1u,102.024764,113.293,0.0,bottom
MX36,MX_SW_HS,SW_choc_v1_HS_CPG135001S30_1u,120.024764,113.293,0.0,bottom
MX37,MX_SW_HS,SW_choc_v1_HS_CPG135001S30_1u,30.042114,98.75425,0.0,bottom
MX38,MX_SW_HS,SW_choc_v1_HS_CPG135001S30_1u,48.042114,101.10425,0.0,bottom
MX39,MX_SW_HS,SW_choc_v1_HS_CPG135001S30_1u,66.042114,103.55425,0.0,bottom
MX4,MX_SW_HS,SW_choc_v1_HS_CPG135001S30_1u,193.516815,120.602555,0.0,bottom
MX40,MX_SW_HS,SW_choc_v1_HS_CPG135001S30_1u,84.029764,101.093,0.0,bottom
MX41,MX_SW_HS,SW_choc_v1_HS_CPG135001S30_1u,102.024764,96.293,0.0,bottom
MX42,MX_SW_HS,SW_choc_v1_HS_CPG135001S30_1u,120.024764,96.293,0.0,bottom
MX43,MX_SW_HS,SW_choc_v1_HS_CPG135001S30_1u,30.042114,81.75425,0.0,bottom
MX44,MX_SW_HS,SW_choc_v1_HS_CPG135001S30_1u,48.042114,84.10425,0.0,bottom
MX45,MX_SW_HS,SW_choc_v1_HS_CPG135001S30_1u,66.042114,86.55425,0.0,bottom
MX46,MX_SW_HS,SW_choc_v1_HS_CPG135001S30_1u,84.029764,84.093,0.0,bottom
MX47,MX_SW_HS,SW_choc_v1_HS_CPG135001S30_1u,102.024764,79.293,0.0,bottom
MX48,MX_SW_HS,SW_choc_v1_HS_CPG135001S30_1u,120.024764,79.293,0.0,bottom
MX49,MX_SW_HS,SW_choc_v1_HS_CPG135001S30_1u,30.042114,64.75425,0.0,bottom
MX5,MX_SW_HS,SW_choc_v1_HS_CPG135001S30_1u,211.516815,118.102555,0.0,bottom
MX50,MX_SW_HS,SW_choc_v1_HS_CPG135001S30_1u,48.042114,67.10425,0.0,bottom
MX51,MX_SW_HS,SW_choc_v1_HS_CPG135001S30_1u,66.042114,69.55425,0.0,bottom
MX52,MX_SW_HS,SW_choc_v1_HS_CPG135001S30_1u,84.029764,67.093,0.0,bottom
MX53,MX_SW_HS,SW_choc_v1_HS_CPG135001S30_1u,102.024764,62.293,0.0,bottom
MX54,MX_SW_HS,SW_choc_v1_HS_CPG135001S30_1u,120.024764,62.293,0.0,bottom
MX55,MX_SW_HS,SW_choc_v1_HS_CPG135001S30_1u,14.598524,43.239031,243.0,bottom
MX56,MX_SW_HS,SW_choc_v1_HS_CPG135001S30_1u,36.084362,45.165634,347.0,bottom
MX57,MX_SW_HS,SW_choc_v1_HS_CPG135001S30_1u,55.446778,47.999394,356.0,bottom
MX58,MX_SW_HS,SW_choc_v1_HS_CPG135001S30_1u,75.115294,48.002113,4.0,bottom
MX59,MX_SW_HS,SW_choc_v1_HS_CPG135001S30_1u,94.633408,44.252395,16.0,bottom
MX6,MX_SW_HS,SW_choc_v1_HS_CPG135001S30_1u,229.516815,115.802555,0.0,bottom
MX60,MX_SW_HS,SW_choc_v1_HS_CPG135001S30_1.25u,117.779764,45.283,0.0,bottom
MX7,MX_SW_HS,SW_choc_v1_HS_CPG135001S30_1u,139.516815,96.302555,0.0,bottom
MX8,MX_SW_HS,SW_choc_v1_HS_CPG135001S30_1u,157.516815,96.302555,0.0,bottom
MX9,MX_SW_HS,SW_choc_v1_HS_CPG135001S30_1u,175.516815,101.102555,0.0,bottom
SW1,RotaryEncoder_Switch,ROT_Alps_EC11E-Switch,253.366815,68.942555,0.0,top
SW2,RotaryEncoder_Switch,ROT_Alps_EC11E-Switch,9.439764,68.833,0.0,top
SW_POWERR31,SW_SPDT,SW_SPDT_PCM12,254.136815,86.912555,180.0,top
SW_POWERR32,SW_SPDT,SW_SPDT_PCM12,8.299764,86.852999,180.0,top
