Comment,Designator,Footprint,LCSC
10u,"C20,C9,J1,J4,SPLIT_L1,SPLIT_R1,U1,U4,U8,U9",C_0603_1608Metric,C1035
5K1,"R1,R10,R11,R12,R13,R14,R15,R16,R2,R22,R23,R24,R25,R26,R27,R28,R5,R7",R_0402_1005Metric,C11702
100n,"C11,C12,C13,C14,C15,C16,C17,C18,C22,C23,C24,C25,C26,C27,C29,C30,C35,C6",C_0402_1005Metric,C1525
22p,"C36,C37,C5,C7",C_0402_1005Metric,C1555
100n,"C38,C8",C_0402_1005Metric,C1760
75k,"R20,R8",C_0402_1005Metric,C17819
RotaryEncoder_Switch,"SW1,SW2",ROT_Alps_EC11E-Switch,C202365
RP2040,"U10,U3",QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040
27,"R18,R19,R4,R6",R_0402_1005Metric,C25100
5k1,"R17,R21,R3,R9",C_0402_1005Metric,C27834
SW_Push,"BOOT1,BOOT2,RST1,RST2",SW_SPST_TL3342,C318884
MX_SW_HS,"MX1,MX10,MX11,MX12,MX13,MX14,MX15,MX16,MX17,MX18,MX19,MX2,MX20,MX21,MX22,MX23,MX24,MX25,MX26,MX27,MX28,MX29,MX3,MX30,MX31,MX32,MX33,MX34,MX35,MX36,MX37,MX38,MX39,MX4,MX40,MX41,MX42,MX43,MX44,MX45,MX46,MX47,MX48,MX49,MX5,MX50,MX51,MX52,MX53,MX54,MX55,MX56,MX57,MX58,MX59,MX6,MX60,MX7,MX8,MX9",SW_MX_HS_1u,C5184526
SK6803MINI-E,"LED1,LED10,LED11,LED12,LED13,LED14,LED15,LED16,LED17,LED18,LED19,LED2,LED20,LED21,LED22,LED23,LED24,LED25,LED26,LED27,LED28,LED29,LED3,LED30,LED31,LED32,LED33,LED34,LED35,LED36,LED37,LED38,LED39,LED4,LED40,LED41,LED42,LED43,LED44,LED45,LED46,LED47,LED48,LED49,LED5,LED50,LED51,LED52,LED53,LED54,LED55,LED56,LED57,LED58,LED59,LED6,LED60,LED7,LED8,LED9",LED_MX_6028R,C5242955
1u,"C1,C10,C19,C2,C21,C28,C3,C31,C32,C33",C_0402_1005Metric,C52923
USBLC6-2SC6,"U12,U2,U5,U7",SOT-23-6,C55266
Fuse_Small,"F1,F2",Fuse_1206_3216Metric,C70076
74AHC1G125,"U11,U6",SOT-23-5,C7484
100u,"C34,C39,C4,C40,C41,C42,C43,C44,C45,C46,C47,C48",C_0402_1005Metric,C77130
D_Small,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D6,D60,D61,D62,D7,D8,D9",D_SOD-123,C8598
Crystal_GND24,"Y1,Y2",Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
~,TFT2,TFT 1.47 waveshare,
~,TFT1,TFT 1.47 waveshare,
MX_stab,S31,STAB_MX_P_2u,
MX_stab,S1,STAB_MX_P_2u,
Conn_01x05,J5,PinSocket_1x05_P2.54mm_Horizontal,
Conn_01x08_Pin,J6,PinHeader_1x08_P2.54mm_Horizontal,
Conn_01x05,J2,PinSocket_1x05_P2.54mm_Horizontal,
Conn_01x08_Pin,J3,PinHeader_1x08_P2.54mm_Horizontal,
