Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BOOT1,SW_Push,SW_SPST_TL3342,74.991764,62.745,90.0,top
BOOT2,SW_Push,SW_SPST_TL3342,129.380764,68.145,-90.0,top
C1,1u,C_0402_1005Metric,91.491764,124.438422,180.0,top
C10,1u,C_0402_1005Metric,89.19364,116.916716,90.0,top
C11,100n,C_0402_1005Metric,91.82055,116.245558,0.0,top
C12,100n,C_0402_1005Metric,80.551399,114.436991,90.0,top
C13,100n,C_0402_1005Metric,91.836904,115.174382,0.0,top
C14,100n,C_0402_1005Metric,88.491764,104.345,0.0,top
C15,100n,C_0402_1005Metric,90.291764,109.345,-90.0,top
C16,100n,C_0402_1005Metric,86.258494,116.945,90.0,top
C17,100n,C_0402_1005Metric,85.205628,116.945,90.0,top
C18,100n,C_0402_1005Metric,88.489775,105.452286,0.0,top
C19,1u,C_0402_1005Metric,88.056343,116.366781,90.0,top
C2,1u,C_0402_1005Metric,90.725865,117.423034,180.0,top
C20,10u,C_0603_1608Metric,124.21756,118.882118,180.0,top
C21,1u,C_0402_1005Metric,122.118607,117.053532,90.0,top
C22,100n,C_0402_1005Metric,124.754338,116.487036,0.0,top
C23,100n,C_0402_1005Metric,113.476366,114.573807,90.0,top
C24,100n,C_0402_1005Metric,124.762009,115.382294,0.0,top
C25,100n,C_0402_1005Metric,121.841054,103.493392,0.0,top
C26,100n,C_0402_1005Metric,124.780764,110.259545,0.0,top
C27,100n,C_0402_1005Metric,119.183461,117.081816,90.0,top
C28,1u,C_0402_1005Metric,118.130595,117.081816,90.0,top
C29,100n,C_0402_1005Metric,121.826585,104.585836,0.0,top
C3,1u,C_0402_1005Metric,78.595535,127.067637,90.0,top
C30,100n,C_0402_1005Metric,120.98131,116.503597,90.0,top
C31,1u,C_0402_1005Metric,112.662918,129.479888,90.0,top
C32,1u,C_0402_1005Metric,124.41756,124.57554,180.0,top
C33,1u,C_0402_1005Metric,123.651661,117.560152,180.0,top
C34,100u,C_0402_1005Metric,133.19193,128.632784,-90.0,top
C35,100n,C_0402_1005Metric,131.511337,125.945,180.0,bottom
C36,22p,C_0402_1005Metric,115.616614,104.176029,-135.0,top
C37,22p,C_0402_1005Metric,119.932616,103.080001,135.0,top
C38,100n,C_0402_1005Metric,131.727709,132.996448,90.0,top
C39,100u,C_0402_1005Metric,69.791764,119.445,0.0,top
C4,100u,C_0402_1005Metric,72.891764,131.665642,-90.0,top
C40,100u,C_0402_1005Metric,133.676985,123.878281,180.0,top
C41,100u,C_0402_1005Metric,69.767728,81.167508,0.0,top
C42,100u,C_0402_1005Metric,132.700764,110.145,0.0,top
C43,100u,C_0402_1005Metric,69.756956,60.738731,0.0,top
C44,100u,C_0402_1005Metric,132.700764,90.745,0.0,top
C45,100u,C_0402_1005Metric,69.791764,100.110302,0.0,top
C46,100u,C_0402_1005Metric,132.662234,73.75053,0.0,top
C47,100u,C_0402_1005Metric,70.724471,55.875831,180.0,top
C48,100u,C_0402_1005Metric,130.780764,61.945,0.0,top
C5,22p,C_0402_1005Metric,82.391764,103.245,-135.0,top
C6,100n,C_0402_1005Metric,73.958387,127.045,180.0,bottom
C7,22p,C_0402_1005Metric,87.074989,103.029173,135.0,top
C8,100n,C_0402_1005Metric,74.412587,127.337504,-90.0,top
C9,10u,C_0603_1608Metric,91.291764,118.745,180.0,top
D1,D_Small,D_SOD-123,-28.758236,125.845,90.0,bottom
D10,D_Small,D_SOD-123,28.191764,114.145,90.0,bottom
D11,D_Small,D_SOD-123,47.291764,111.745,90.0,bottom
D12,D_Small,D_SOD-123,66.291764,109.445,90.0,bottom
D13,D_Small,D_SOD-123,-28.708236,87.945,90.0,bottom
D14,D_Small,D_SOD-123,-9.708236,87.945,90.0,bottom
D15,D_Small,D_SOD-123,9.291764,92.745,90.0,bottom
D16,D_Small,D_SOD-123,28.291764,95.145,90.0,bottom
D17,D_Small,D_SOD-123,47.291764,92.745,90.0,bottom
D18,D_Small,D_SOD-123,66.291764,90.445,90.0,bottom
D19,D_Small,D_SOD-123,-28.708236,68.945,90.0,bottom
D2,D_Small,D_SOD-123,-9.658236,125.845,90.0,bottom
