Designator,Footprint,Quantity,Value,LCSC Part #
"BOOT1, BOOT2, RST1, RST2",SW_SPST_TL3342,4,SW_Push,
"C1, C10, C19, C2, C21, C28, C3, C31, C32, C33",0402,10,1u,
"C11, C12, C13, C14, C15, C16, C17, C18, C22, C23, C24, C25, C26, C27, C29, C30, C35, C6",0402,18,100n,
"C20, C9",0603,2,10u,
"C34, C39, C4, C40, C41, C42, C43, C44, C45, C46, C47, C48",0402,12,100u,
"C36, C37, C5, C7",0402,4,22p,
"C38, C8",0402,2,100n,C1760
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D7, D8, D9",D_SOD-123,62,D_Small,
"F1, F2",1206,2,Fuse_Small,
"J1, J4",USB_C_Receptacle_HRO_TYPE-C-31-M-14,2,USB_C_Receptacle_USB2.0,
"J2, J5",PinSocket_1x05_P2.54mm_Horizontal,2,Conn_01x05,
"J3, J6",PinHeader_1x08_P2.54mm_Horizontal,2,Conn_01x08_Pin,
"LED1, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED2, LED20, LED21, LED22, LED23, LED24, LED25, LED26, LED27, LED28, LED29, LED3, LED30, LED31, LED32, LED33, LED34, LED35, LED36, LED37, LED38, LED39, LED4, LED40, LED41, LED42, LED43, LED44, LED45, LED46, LED47, LED48, LED49, LED5, LED50, LED51, LED52, LED53, LED54, LED55, LED56, LED57, LED58, LED59, LED6, LED60, LED7, LED8, LED9",LED_MX_6028R,60,SK6803MINI-E,
"MX1, MX10, MX11, MX12, MX13, MX14, MX15, MX16, MX17, MX18, MX19, MX2, MX20, MX21, MX22, MX23, MX24, MX25, MX26, MX27, MX28, MX29, MX3, MX30, MX31, MX32, MX33, MX34, MX35, MX36, MX37, MX38, MX39, MX4, MX40, MX41, MX42, MX43, MX44, MX45, MX46, MX47, MX48, MX49, MX5, MX50, MX51, MX52, MX53, MX54, MX55, MX56, MX57, MX58, MX59, MX6, MX60, MX7, MX8, MX9",SW_MX_HS_1u,60,MX_SW_HS,
"R1, R10, R12, R13, R15, R16, R2, R22, R23, R24, R26, R27, R5, R7",0402,14,5K1,
"R11, R14, R25, R28",0402,4,1k,
"R17, R21, R3, R9",0402,4,5k1,C27834
"R18, R19, R4, R6",0402,4,27,
"R20, R8",0402,2,75k,C17819
"S1, S31",STAB_MX_P_2u,2,MX_stab,
"SPLIT_L1, SPLIT_R1",USB_C_Receptacle_HRO_TYPE-C-31-M-14,2,USB-C-2.0,
"SW1, SW2",ROT_Alps_EC11E-Switch,2,RotaryEncoder_Switch,
"U1, U8",SOIC-8_5.23x5.23mm_P1.27mm,2,W25Q128JVS,
"U10, U3",QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,2,RP2040,
"U11, U6",SOT-23-5,2,74AHC1G125,
"U12, U2",SOT-23-6,2,USBLC6-2SC6,
"U4, U9",SOT-23-3,2,XC6206PxxxMR,
"U5, U7",SOT-23-6,2,TPS2553DBVR,C55266
"Y1, Y2",Crystal_SMD_3225-4Pin_3.2x2.5mm,2,Crystal_GND24,
