Designator,Mid X,Mid Y,Rotation,Layer
BOOT2,129.380764,68.145,270.0,top
C20,124.21756,118.882118,180.0,top
C21,122.118607,117.053532,90.0,top
C22,124.754338,116.487036,0.0,top
C23,113.476366,114.573807,90.0,top
C24,124.762009,115.382294,0.0,top
C25,121.841054,103.493392,0.0,top
C26,124.780764,110.259545,0.0,top
C27,119.183461,117.081816,90.0,top
C28,118.130595,117.081816,90.0,top
C29,121.826585,104.585836,0.0,top
C30,120.98131,116.503597,90.0,top
C31,112.662918,129.479888,90.0,top
C32,124.41756,124.57554,180.0,top
C33,123.651661,117.560152,180.0,top
C34,133.19193,128.632784,270.0,top
C35,131.511337,125.945,180.0,bottom
C36,115.616614,104.176029,225.0,top
C37,119.932616,103.080001,135.0,top
C38,131.727709,132.996448,90.0,top
C40,133.676985,123.878281,180.0,top
C42,132.700764,110.145,0.0,top
C44,132.700764,90.745,0.0,top
C46,132.662234,73.75053,0.0,top
C48,130.780764,61.945,0.0,top
D31,145.791764,129.002805,90.0,bottom
D32,164.791764,131.252805,90.0,bottom
D33,183.791764,133.702805,90.0,bottom
D34,202.791764,131.252805,90.0,bottom
D35,221.791764,126.502805,90.0,bottom
D36,240.791764,126.502805,90.0,bottom
D37,145.791764,110.002805,90.0,bottom
D38,164.791764,112.252805,90.0,bottom
D39,183.791764,114.702805,90.0,bottom
D40,202.791764,112.252805,90.0,bottom
D41,221.791764,107.502805,90.0,bottom
D42,240.791764,107.502805,90.0,bottom
D43,145.791764,91.002805,90.0,bottom
D44,164.791764,93.252805,90.0,bottom
D45,183.791764,95.702805,90.0,bottom
D46,202.791764,93.252805,90.0,bottom
D47,221.791764,88.502805,90.0,bottom
D48,240.791764,88.502805,90.0,bottom
D49,145.791764,71.952805,90.0,bottom
D50,164.791764,74.252805,90.0,bottom
D51,183.791764,76.702805,90.0,bottom
D52,202.791764,74.252805,90.0,bottom
D53,222.045211,69.50154,90.0,bottom
D54,241.037142,69.569007,90.0,bottom
D55,124.241764,46.602805,153.0,bottom
D56,151.541764,51.702805,78.0,bottom
D57,171.941764,54.002805,87.0,bottom
D58,192.441764,53.402805,95.0,bottom
D59,212.641764,48.702805,106.0,bottom
D60,238.641764,50.302805,90.0,bottom
D62,122.980764,69.545,0.0,bottom
F2,124.780764,127.482118,270.0,top
J4,119.401032,131.356728,180.0,top
J5,116.880764,104.725,0.0,bottom
J6,114.855764,123.12,180.0,bottom
LED31,142.891764,124.022805,180.0,bottom
LED32,161.891764,126.272805,180.0,bottom
LED33,180.891764,128.722805,180.0,bottom
LED34,199.891764,126.272805,180.0,bottom
LED35,218.891764,121.522805,180.0,bottom
LED36,237.891764,121.522805,180.0,bottom
LED37,142.891764,105.022805,0.0,bottom
LED38,161.891764,107.272805,0.0,bottom
LED39,180.891764,109.722805,0.0,bottom
LED40,199.891764,107.272805,0.0,bottom
LED41,218.891764,102.522805,0.0,bottom
LED42,237.891764,102.522805,0.0,bottom
LED43,142.891764,86.022805,180.0,bottom
LED44,161.891764,88.272805,180.0,bottom
LED45,180.891764,90.722805,180.0,bottom
LED46,199.891764,88.272805,180.0,bottom
LED47,218.891764,83.522805,180.0,bottom
LED48,237.891764,83.522805,180.0,bottom
LED49,142.891764,66.972805,0.0,bottom
LED50,161.891764,69.272805,0.0,bottom
